,Tourney/Entrants,1704,409,16,134,316,16,333,233,438,331,848,396,292,369,1428,402,566,1092,476,1156,224,354,1522,314,170,150,16
Rank,Player,GENESIS 4,B.E.A.S.T 7,Smash Summit 4,FPS 2,Full Bloom 3,Smash Rivalries,CEO Dreamland,HFLAN ,DreamHack Austin,Royal Flush,Smash 'N' Splash 3,Battle of BC 2,CEO 2017,Bad Moon Rising 2,EVO 2017,DreamHack Atlanta,Get On My Level,Super Smash Con,Heir 4,Shine 2017,Syndicate 2017,GT-X,The Big House 7,DreamHack Denver,Canada Cup 2017,Too Hot to Handle,Smash Summit 5
1,Armada,1,1,1,,,,,1,,2,3,,,,1,,,,,,1,2,4,,3,,2
2,Hungrybox,4,,2,1,1,1,3,,1,3,1,,1,1,3,2,2,4,,1,,1,1,1,,1,1
3,Mango,2,,9,,,7,,,4,1,5,,,,2,,,1,,2,,,5,2,,,4
4,Mew2King,3,,4,2,,9,1,,3,,,2,,,4,3,,2,,4,,3,5,7,1,,9
5,Leffen,5,2,3,,9,,,,7,5,2,,,,9,,1,9,1,5,,13,3,,2,,3
6,Plup,5,,5,,,,5,,5,,5,,2,,5,1,,3,,5,,5,2,,,3,5
7,ChuDat,9,,7,,,5,,2,2,13,,1,,,17,9,,13,,7,4,17,13,5,,,
8,SFAT,9,9,7,,3,4,2,,9,17,,,,,7,5,4,7,,17,,4,9,5,,,
9,Axe,7,,5,,4,5,9,,17,,7,,3,,9,4,,5,,,,9,17,3,,,
10,Wizzrobe,13,,,,,2,,,5,,7,,5,,13,,,,,9,2,9,7,,,,7
11,Druggedfox,17,5,,,5,3,3,,,4,,,,2,33,5,,17,,,,7,25,,,4,
12,Westballz,7,,13,,7,13,,,13,,9,,,,13,,5,9,,9,,9,65,9,,,
13,Swedish Delight,13,,,,9,7,4,,,,,,5,3,13,,,13,,33,,17,9,,,9,
14,Shroomed,17,,,5,9,9,,,17,5,4,,9,,17,,,,,7,,5,13,,,,
15,Duck,17,,,,2,13,9,,17,,9,,,,13,,,,,25,,,17,,9,,
16,S2J,9,,9,4,13,9,,,17,9,9,,7,,17,,,,2,3,,7,7,4,,,9
17,Lucky,9,,13,7,,9,,,,13,13,,,,5,,,,,,,17,25,,,,
18,n0ne,33,,,,,,13,,9,,13,,,4,33,9,7,,,,,13,33,,4,,
19,PewPewU,17,,9,,,13,7,,,,17,,,,9,,,7,,9,,17,13,,,,
20,Ice,25,3,9,,9,,,,,17,17,,,,33,,13,,,9,,,,,,,
21,HugS,17,,13,,,,5,,13,17,,5,,,33,,,17,,13,,13,33,,,5,
22,Mike Haze,25,,,,,,,,9,9,,5,,,25,,13,25,,17,,25,65,9,,5,9
23,Crush,17,9,,,,,,,13,9,,9,,,25,9,13,17,,65,,25,9,,,2,9
24,The Moon,65,4,,3,5,13,,,,7,,13,17,,7,7,3,,,17,,33,65,,,,
25,dizzkidboogie,13,25,,,,,7,,,33,17,,,9,49,,,25,,33,,25,49,,,9,
26,Nintendude,33,17,,,,,,,,7,,7,,,25,,13,25,,13,,,17,,,,
27,KJH,13,,,,,,,,,17,,,,,49,,,17,,33,,,33,,5,,
28,Colbol,33,,,9,,,9,,,33,25,,4,17,25,13,,33,,,,,25,,,7,
29,Professor Pro,25,9,,,,,,,,13,25,,,,,,,,5,,5,17,33,,,,
30,Syrox,33,,,,,,17,,13,,,,,,49,9,,13,,17,,17,65,9,,,
31,KirbyKaze,33,,,,,,,,,,,3,,,,,,9,,33,,,,,9,,
32,Bladewise,49,,,,,,,,,,,13,,,33,,17,,,,,33,25,,,,
33,Laudandus,65,,,,,,,,7,,,,,,65,,,,,,,,,,,,
34,aMSa,,,,,,,,,,,,7,,,17,,,,,,,9,13,,,,13
35,Gahtzu,33,,,17,,,,,9,,17,,,,49,17,,,,25,,,33,,,7,
36,MacD,25,,,,17,,17,,17,25,33,,,,25,,17,49,,25,,25,33,,,,
37,Ryan Ford,97,,,,,,,,,17,,9,,,17,7,9,,,17,,,17,,9,,
38,Slox,33,7,,,,,33,,,17,,,,5,,,,,,33,,,9,,,13,
39,Captain Smuckers,65,,,,,,,,,33,,,9,,,,,25,,33,,,65,,,,
40,Rishi,17,,,,,,17,,,,25,,,,17,,,13,,25,,,65,,,,
41,Zain,33,,,,,,17,,,,13,,,9,,,9,5,,,,,17,7,,,
42,Prince Abu,65,,,,13,,,,,,,4,,,9,,25,,,,,,65,,9,,
43,Trif,,13,,,,,,3,,,,,,,,,,,3,13,3,,,,,,
44,Amsah,49,5,,,,,,4,,,,,,,33,,,,4,,5,33,33,,,,
45,Santiago,25,,,,,,,,25,,,,,,,,,,,,,,,,,,
46,Mafia,25,,,,,,25,,,9,,,,,,,17,25,,,,,,,,,
47,Kels,25,,,7,,,,,,,17,,,,33,,,,,25,,,65,,,,
48,lloD,,,,,,,,,,,17,,,,17,,,9,,49,,,17,,,,
49,Captain Faceroll,49,,,,,,,,,,,,,,49,,,,,25,,,49,9,,,
50,Chillindude,33,,,,,,,9,17,33,13,,,,65,13,,33,17,,,,,,,,
51,Abate,25,,,,,,,,,,,,,,,,17,,,,,,65,,,,
51,Android,65,7,,,,,,7,17,17,25,,,,25,,,,17,,9,13,49,,7,,
51,Blea Gelo,65,,,,,,25,,,,,,,,33,,,,,,,,49,,,,13
51,Drunksloth,65,,,5,,,65,,,,,,13,,65,13,,17,,,,,25,,,13,
51,Hax$,,,,,,,,,,,,,,,33,,17,,,,,,,,,,13
51,Ginger,,,,,25,,33,,,,,,,,,13,17,17,,49,,,25,,17,,
51,iBDW,,,,,,,,,,,,,13,,,,,33,,,,,65,,,,
51,DJ Nintendo,65,,,,,,65,,,33,,,9,,49,,17,,,,,,,,,,
51,Overtriforce,,13,,,,,,5,,,,,,,,,,,5,,7,,,,,,
51,Lovage,97,,,,,,,,,,,33,,,129,,,,,,,17,,,,,
51,King Momo,,,,17,,,65,,,,,,7,,33,,,65,,,,,65,,,,
51,Medz,33,,,,,,,,,,,,,,17,,,,,49,,,,,,,
51,Jeapie,,13,,,,,,,,,,,,,,,,,13,,17,,,,,,
51,ARMY,17,,,,,,,,,,,,,,33,,,,,,,33,25,,,,
51,Junebug,,,,,,,,,,25,33,,,,,,,49,,25,,,17,,,,
51,Kage,,,,,,,,,,,,,,,49,,25,,,,,,17,,5,,
51,Jerry,,,,,,,,,,25,,,,,,,,17,,,,,,,,,